"","year","season","trawler_hours","sst_min","sst_max","sst_mean","sst_std","chl_min","chl_max","chl_mean","chl_std"
"1",2016,"s1",266387.664199948,22.4927472527473,27.2620879120879,25.7252921641209,1.21331255254434,0.0876315757632256,38.6174964904785,0.649928014317131,1.37294481993449
"2",2017,"s1",291291.087176323,23.6001111111111,27.8737777777778,26.4711444701052,1.18196846654086,0.104269541800022,22.482723236084,0.727486691866801,1.02422950817179
"3",2018,"s1",302866.670701742,23.2887777777778,27.5937777777778,25.7895506800103,1.11406312740726,0.0867097675800323,34.730152130127,0.590719153840191,1.18583801652438
"4",2019,"s1",308797.869820654,23.1771111111111,29.2401111111111,26.4732231386781,1.35675127366779,0.0836935639381409,42.9600486755371,0.795510331935851,1.5066280695514
"5",2020,"s1",292073.758255959,22.8897802197802,26.8049450549451,25.3511136207903,1.01356579984635,0.0798393711447716,55.5279922485352,0.740368425824734,1.49394552112958
"6",2021,"s1",314019.248698503,22.8281111111111,28.2143333333333,26.0798938010924,1.29283756924486,0.0799878314137459,37.5527038574219,0.629025228828122,1.43378784066658
"7",2022,"s1",243163.697598815,22.5925555555556,27.5978888888889,25.3107716191943,1.09110452454418,0.0032,39.4501333333333,0.590769611658555,1.08361294722248
"8",2023,"s1",181235.849052608,23.3022222222222,27.2671111111111,25.6503071960116,0.859561063115997,0.0032,104.8544,0.571421036998879,1.33461241411672
"9",2016,"s2",270032.510973293,15.8684615384615,25.7415384615385,21.445392954126,2.42642854727637,0.152484193444252,32.269702911377,1.88287055762439,2.23687186236176
"10",2017,"s2",257393.934674501,18.4153846153846,25.2132967032967,22.2942944518365,1.59429902778939,0.128297194838524,36.6234245300293,1.1220696862185,1.55341253851695
"11",2018,"s2",267466.734003901,18.8302197802198,25.7057142857143,22.9769277538694,1.65846907482204,0.118485316634178,37.241268157959,0.925990319459508,1.46879553730262
"12",2019,"s2",275358.695572466,18.1813186813187,26.4832967032967,23.4433058396569,2.06823252295331,0.140776768326759,47.9201316833496,1.20060348801411,1.85492530182921
"13",2020,"s2",223124.272556543,17.639010989011,25.1543956043956,21.9577214570319,1.9985837491997,0.139108210802078,50.9658279418945,1.06042011982309,1.55232069654469
"14",2021,"s2",238786.532063395,18.157032967033,25.7359340659341,22.5888702093024,1.89645117529064,0.115780271589756,33.4778671264648,0.875502939160225,1.39390685771249
"15",2022,"s2",220438.640460968,16.9879120879121,24.898021978022,21.5628577954543,2.01826106176826,0.132452173913043,36.173696,1.12700344445471,1.41171761069519
"16",2023,"s2",288999.78020528,18.5762637362637,25.6408791208791,22.8028111710131,1.62871361145588,0.122941935483871,39.7040592592593,0.83152651143767,1.30771169347096
"17",2016,"s3",375202.135808825,11.1015217391304,22.7490217391304,17.8334263336824,3.12551870692828,0.209545537829399,23.86745262146,3.4059596131649,2.47176342569934
"18",2017,"s3",343525.056380585,14.9782608695652,22.7470652173913,19.7333521366173,1.7858443427197,0.172604992985725,82.9348220825195,1.52003118770497,1.71132091235882
"19",2018,"s3",392103.428896487,13.0479347826087,23.3280434782609,18.7521380517264,2.71854545471678,0.150452196598053,45.335994720459,1.50100771913759,1.74092277440445
"20",2019,"s3",393695.480561942,12.6888043478261,22.7626086956522,18.7273397357738,2.78800633299594,0.180427342653275,53.4332885742188,2.25192645548703,2.26064478880148
"21",2020,"s3",371994.531893045,12.4263043478261,23.403152173913,18.8075312352072,3.33758517082288,0.15957410633564,39.0998649597168,1.68834866640022,1.77375710139044
"22",2021,"s3",383788.377100617,13.104347826087,23.1480434782609,18.6800256049804,2.75628638602987,0.126848742365837,53.6264305114746,1.80724010584223,2.97828329535728
"23",2022,"s3",351559.457110882,11.6020652173913,22.3484782608696,18.1271178976661,2.96709555609911,0.167288888888889,46.1703272727273,1.2879622985062,1.48035958617739
"24",2023,"s3",375594.420675516,13.0498913043478,22.9073913043478,19.1681356777072,2.71139719701164,0.133952,36.4513684210526,1.03482550626783,1.45559332886485
"25",2016,"s4",330285.295502961,17.2496703296703,24.4627472527473,21.7263565863368,2.05230565424548,0.106992691755295,19.5638828277588,1.33904373498071,1.5716571575784
"26",2017,"s4",333527.930772722,18.2112087912088,24.0603296703297,21.9304014560168,1.43513201615923,0.0949171110987663,59.3597869873047,1.10082910736705,1.49016108283168
"27",2018,"s4",341261.64557606,18.4176923076923,24.7821978021978,22.6801624966917,1.65709737788817,0.0755002871155739,43.2617645263672,0.773209088841523,1.27817716428473
"28",2019,"s4",316428.738289863,18.7189010989011,24.6149450549451,22.3664980911533,1.46305553252667,0.0974346697330475,33.2234306335449,1.10088275424522,1.55089240098583
"29",2020,"s4",356429.315730691,17.2361538461538,24.9624175824176,22.2957652970586,2.14318396867469,0.0885291993618011,25.3083419799805,0.739784403155702,1.07533977382009
"30",2021,"s4",320322.854122341,18.8558241758242,24.340989010989,22.3014238944823,1.35820040469861,0.0758702531456947,41.9391136169434,0.85308255263614,1.65846160544994
"31",2022,"s4",182012.426621437,18.3,24.5964835164835,21.9928799837576,1.6314835251159,0.0730909090909091,23.4763428571429,0.586004807892495,0.935039039596901
"32",2023,"s4",297457.408448428,16.6871428571429,25.8146153846154,22.1106630387099,2.17098882872565,0.0536,28.2208,0.74524713000701,1.37912223206628
